service_change,url_endpoint,description
2022-03,https://raw.githubusercontent.com/alexanderlew-soundtransit/alexanderlew-soundtransit.github.io/main/data/CT_all_Mar22scada.csv,CT
2022-03,https://raw.githubusercontent.com/alexanderlew-soundtransit/alexanderlew-soundtransit.github.io/main/data/KCM_Link_Mar22scada_rev.csv,Link and KCM revised
2022-03,https://raw.githubusercontent.com/alexanderlew-soundtransit/alexanderlew-soundtransit.github.io/main/data/PT_all_Mar22scada.csv,PT
2022-03,https://raw.githubusercontent.com/alexanderlew-soundtransit/alexanderlew-soundtransit.github.io/main/data/Sounder_Mar22scada.csv,Sounder
2022-09,https://raw.githubusercontent.com/alexanderlew-soundtransit/alexanderlew-soundtransit.github.io/main/data/Link_Sept22scada.csv,Link
2022-09,https://raw.githubusercontent.com/alexanderlew-soundtransit/alexanderlew-soundtransit.github.io/main/data/KCM_Sept22scada.csv,KCM
2022-09,https://raw.githubusercontent.com/alexanderlew-soundtransit/alexanderlew-soundtransit.github.io/main/data/PT_Sept22scada.csv,PT
2022-09,https://raw.githubusercontent.com/alexanderlew-soundtransit/alexanderlew-soundtransit.github.io/main/data/SounderSept22scada.csv,Sounder
2022-09,https://raw.githubusercontent.com/alexanderlew-soundtransit/alexanderlew-soundtransit.github.io/main/data/CT_Fall2022scada.csv,CT
2022-12,https://raw.githubusercontent.com/alexanderlew-soundtransit/alexanderlew-soundtransit.github.io/main/data/Link_Sept22scada.csv,Link - no change
2022-12,https://raw.githubusercontent.com/alexanderlew-soundtransit/alexanderlew-soundtransit.github.io/main/data/KCM_Sept22scada.csv,KCM - no change
2022-12,https://raw.githubusercontent.com/alexanderlew-soundtransit/alexanderlew-soundtransit.github.io/main/data/PT_Sept22scada.csv,PT - no change
2022-12,https://raw.githubusercontent.com/alexanderlew-soundtransit/alexanderlew-soundtransit.github.io/main/data/SounderSept22scada.csv,Sounder - no change
2022-12,https://raw.githubusercontent.com/alexanderlew-soundtransit/alexanderlew-soundtransit.github.io/main/data/CT_all_Dec22.csv,CT Dec shake-up
2023-03,https://raw.githubusercontent.com/alexanderlew-soundtransit/alexanderlew-soundtransit.github.io/main/data/KCM_Mar23.csv,KCM March 2023
2023-03,https://raw.githubusercontent.com/alexanderlew-soundtransit/alexanderlew-soundtransit.github.io/main/data/Link_Mar23.csv,Link March 2023
2023-03,https://raw.githubusercontent.com/alexanderlew-soundtransit/alexanderlew-soundtransit.github.io/main/data/Sounder_Mar23.csv,Sounder March 2023
2023-03,https://raw.githubusercontent.com/alexanderlew-soundtransit/alexanderlew-soundtransit.github.io/main/data/CT_Mar23.csv,CT March 2023
2023-03,https://raw.githubusercontent.com/alexanderlew-soundtransit/alexanderlew-soundtransit.github.io/main/data/PT_weekday_Mar23.csv, PT Weekday March 2023
2023-03,https://raw.githubusercontent.com/alexanderlew-soundtransit/alexanderlew-soundtransit.github.io/main/data/PT_Mar23_Sat_Sun_without560.csv,PT Weekend March 2023 without 560 pending corrections
2023-03,https://raw.githubusercontent.com/alexanderlew-soundtransit/alexanderlew-soundtransit.github.io/main/data/PT_Mar23_560_SatSun.csv,560 manual edits Sat Sun March 2023
2023-07 HTLE,https://raw.githubusercontent.com/alexanderlew-soundtransit/alexanderlew-soundtransit.github.io/main/data/HTLE_2023_revenue.csv, HTLE rev/pre-rev
2023-09,https://raw.githubusercontent.com/alexanderlew-soundtransit/alexanderlew-soundtransit.github.io/main/data/KCM_Sept23_allscada.csv,KCM East Base and Link (Sept 2023)
2023-09,https://raw.githubusercontent.com/alexanderlew-soundtransit/alexanderlew-soundtransit.github.io/main/data/CT_all_0923_v2.csv,CT (Sep 2023)
2023-09,https://raw.githubusercontent.com/alexanderlew-soundtransit/alexanderlew-soundtransit.github.io/main/data/PT_Sep23_AllDays_scada.csv,PT (Sep 2023)
2023-09,https://raw.githubusercontent.com/alexanderlew-soundtransit/alexanderlew-soundtransit.github.io/main/data/TLink_AllDays_Sep162023_HTLE_12mins_scada.csv,TLink (Sep16-2023)
2024-03,https://raw.githubusercontent.com/alexanderlew-soundtransit/alexanderlew-soundtransit.github.io/main/data/2Line_M2024_schedulviewer.csv,Link March 2024
2024-03,https://raw.githubusercontent.com/alexanderlew-soundtransit/alexanderlew-soundtransit.github.io/main/data/LR1_02_WK_MAR24_SCADA_Weekday_1.txt,Link March 2024
2024-03,https://raw.githubusercontent.com/alexanderlew-soundtransit/alexanderlew-soundtransit.github.io/main/data/LR1_02_WK_MAR24_SCADA_Weekday_1.txt,Link March 2024
2024-03,https://raw.githubusercontent.com/alexanderlew-soundtransit/alexanderlew-soundtransit.github.io/main/data/LR1_02_WK_MAR24_SCADA_Weekday_1.txt,Link March 2024
